credit_note_id,id,amount,discount_amount,invoice_line_item,description,livemode,quantity,type,unit_amount,unit_amount_decimal,_fivetran_synced,unit_amount_excluding_tax,amount_excluding_tax
cn_1KEKXZFCPJnn9IgIKkwr1G6b,cnli_1KEKXZFCPJnn9IgIIo3wzLry,1499,,il_1KDAxXFCPJnn9IgIH9W5T7NM,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.602000+00:00,1499,1499
cn_1Ltw84FCPJnn9IgIi8uaSEYm,cnli_1Ltw84FCPJnn9IgIGKvR2JMd,1499,,il_1LrRh4FCPJnn9IgIgdOBpB5w,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.596000+00:00,1499,1499
cn_1KEvhWFCPJnn9IgIIPi42xRT,cnli_1KEvhWFCPJnn9IgI5alBIPjM,1499,,il_1KDAxTFCPJnn9IgI92s5n2jG,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.602000+00:00,1499,1499
cn_1Ou2RVFCPJnn9IgIZRwQJHsU,cnli_1Ou2RVFCPJnn9IgI0Vz7K3ec,1499,,il_1OtfXJFCPJnn9IgIhkh8ubJh,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.595000+00:00,1499,1499
cn_1KEHVnFCPJnn9IgI2WBD6VRF,cnli_1KEHVnFCPJnn9IgI8rXcnLeU,1499,,il_1KDAxZFCPJnn9IgI4lqk0rSp,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.602000+00:00,1499,1499
cn_1KCQXLFCPJnn9IgI0MREHTgr,cnli_1KCQXLFCPJnn9IgID8q7n7rq,1499,,il_1K1wCBFCPJnn9IgILkTQ1dZc,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.602000+00:00,1499,1499
cn_1MQDPtFCPJnn9IgIPsezwTRZ,cnli_1MQDPtFCPJnn9IgI518relWO,1499,,il_1MNoQ9FCPJnn9IgId0SNsIpB,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.596000+00:00,1499,1499
cn_1Jn34mFCPJnn9IgIq6j5jXB7,cnli_1Jn34mFCPJnn9IgImExSfEbv,1499,,il_1JemILFCPJnn9IgIwK3Wx5rc,1 × Subscription (Full Price) (at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.608000+00:00,1499,1499
cn_1PSmZaFCPJnn9IgIaPb9JzNz,cnli_1PSmZaFCPJnn9IgI4H5KK5od,1499,,il_1PMvHmFCPJnn9IgINgTO6tNy,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.585000+00:00,1499,1499
cn_1Jx1agFCPJnn9IgIAIxRmUry,cnli_1Jx1agFCPJnn9IgI6Z5wfd6t,1499,,il_1Jr3syFCPJnn9IgIOrVgX411,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.603000+00:00,1499,1499
cn_1PyciOFCPJnn9IgIIpVQFnLB,cnli_1PyciOFCPJnn9IgICdgC44ma,1499,,il_1PycEEFCPJnn9IgIcPeJ9ktl,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-14 00:10:25.613000+00:00,1499,1499
cn_1QFL0uFCPJnn9IgIFFcKeQrz,cnli_1QFL0uFCPJnn9IgI81cnxVDT,12900,,il_1QFKxWFCPJnn9IgIs6sVrbeE,Slim 6 (Pre-Owned),True,1.0,invoice_line_item,12900.0,12900,2024-10-30 13:26:24.686000+00:00,12900,12900
cn_1QKobFFCPJnn9IgI5gtS2Jxa,cnli_1QKobFFCPJnn9IgIVPfmbQYI,499,,il_1QJhlfFCPJnn9IgIfKSOHyAq,1 × Subscription (Monthly) (Tier 2 at $4.99 / month),True,1.0,invoice_line_item,499.0,499,2024-11-18 16:12:42.842000+00:00,499,499
cn_1QKobFFCPJnn9IgI5gtS2Jxa,cnli_1QKobFFCPJnn9IgIBshBVc9X,1499,,il_1QJhlfFCPJnn9IgIxz7Pi97f,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-11-18 16:12:42.842000+00:00,1499,1499
cn_1Rsq7BFCPJnn9IgICwk1jOFg,cnli_1Rsq7BFCPJnn9IgIctGKg4wB,1529,,il_1Rsp2zFCPJnn9IgIczsCr13K,1 × Pinwheel Subscription (at $15.29 / month),True,1.0,invoice_line_item,1529.0,1529,2025-08-06 00:32:41.419000+00:00,1529,1529
