checkout_session_id,payment_method_type,_fivetran_synced
cs_live_a10qR1gJK8kSofR80iF4kqhNW6mAyJcbmr2OTcWsQwMJvMf6e3bwgUYaXw,card,2024-08-14 00:45:35.798000+00:00
cs_live_a10rb8uEqjg4aBtjrJyVJjoGRNHcbXdjlyvypU1TDh5pD67ZsqQKh0KG2O,affirm,2024-08-14 00:53:26.681000+00:00
cs_live_a10tD4UBPJj9Uo964fQJAHAPhhxGRrniTYtsriTV6oh3mR9MNIXkQE1Vo6,card,2024-08-14 00:44:12.215000+00:00
cs_live_a10ta102e9hIFM4OwOKuidSkBG9cUp1mc4Zr2dJW8Doafj5Yur7YnjKF0P,card,2024-08-14 00:57:28.208000+00:00
cs_live_a10upPg6VuMxbtC9nt7pHJUNpPjxPsMs1o7iQdHw3IBs8jbBiiUSy4booM,card,2024-08-14 00:43:54.130000+00:00
cs_live_a10wr0r1rvvg7Dq9GEagBLOTpz9svn80dDi2VbHDfON1JV4CQdFvb9k8fw,card,2024-08-14 00:53:01.684000+00:00
cs_live_a10xn5QxQgLhUFLH7Fjr8b33i2aZP0isdbHujBsLfOELsoyzMwKBpI0DxF,card,2024-08-14 00:49:03.442000+00:00
cs_live_a10y8sglU9j7NBmZS3Uu9jLhstxv472NRO4N1auRW6h4753UVResZV4aMR,affirm,2024-08-14 00:56:37.759000+00:00
cs_live_a10yBwfUhgYxmQfK7ZT8Ue6O4XM7gNOFtsi4xzfuGXVFHkbNcCu3AFUPqC,affirm,2024-08-14 00:52:32.986000+00:00
cs_live_a10yZvLriXdrQuVRweAyHetokLgmMtzVmBKDEo31efHbAUX8ipduDPt3J1,card,2024-08-14 00:57:18.975000+00:00
cs_live_a10zayhDn2KZKLpuxBJD0OJHQeXsMWSLGLSrQjj053XIWiAoomHwbIZK2b,affirm,2024-08-14 00:50:47.493000+00:00
cs_live_a111B9JrLtR7HSMRunRSHnKjcaNnO66hlPIBbrCOFRmnoTbB9WR1XLCbiS,card,2024-08-14 00:49:13.277000+00:00
cs_live_a112JsnQXLIShV6Nd3rdweIplpNnCQkn49Ln5rBEgpOpZuc2Lu1JcrFe5z,affirm,2024-08-14 00:46:32.771000+00:00
cs_live_a1131FyEiNxKiTxtiU2ezYktpnA0qZYswIVAab0GjLCjGwlxnKQuPgD15u,card,2024-08-14 00:55:09.279000+00:00
cs_live_a115f4fFRMhZRVsk7SdmqcGtpfEBrJ6OkhAIb2mh2mx1QUOTBSQRlKwmni,affirm,2024-08-14 00:59:32.856000+00:00
cs_live_a1171IWkncek6hr2CzH4jUvdzwfw8PgBpDHPNXq15szXtG0m2prBb0BxWW,affirm,2024-08-14 00:54:22.118000+00:00
cs_live_a117JYYy8hStmm5IxAnYJevL7bSMYYdPNmakFGVTUEUWSYMJPcnUgWsbWZ,affirm,2024-08-14 00:43:03.091000+00:00
cs_live_a119k8bOVZ9nHjGhnFwJbjjNpXaEYJjrdEDJuXrILoR4pdrvqHpfwe0AB3,card,2024-08-14 00:55:50.020000+00:00
cs_live_a11ALC849JdbYzy3ZnbPuuBBymwDsvJcM7jdjYrLYETLjlEJz7P0J4cXtv,affirm,2024-08-14 00:46:20.980000+00:00
cs_live_a11CNoUPbiGgbRs1T8IBBHY5sgj45fhhiMAIaZ3j3DTH9vUu2B58DH05ib,affirm,2024-08-14 00:57:59.554000+00:00
cs_live_a11CVsnRrydC0aQh9SEXZcJnUIG2ibU3yfPZbkC66QBHVYNrqkkvNQudld,card,2024-08-14 00:52:52.045000+00:00
