calendar_date,children_id,app_id,usage_count,total_time_foreground,total_time_visible
2023-11-23,004841a7-0976-4f94-8804-fd2281633687,com.pri.applock,1.0,0.0,0.0
2023-11-23,00630de8-7fba-4ebb-9e6c-50c18f4f5c1c,com.google.android.apps.docs,1.0,9.0,9.0
2023-11-23,00630de8-7fba-4ebb-9e6c-50c18f4f5c1c,com.google.android.deskclock,1.0,45.0,45.0
2023-11-23,00630de8-7fba-4ebb-9e6c-50c18f4f5c1c,com.pinwheel.desktop,1.0,4.0,5.0
2023-11-23,006e6d6e-ac93-42a6-b2b6-6dd8d46f3ee7,com.duolingo,1.0,8.0,9.0
2023-11-23,006e6d6e-ac93-42a6-b2b6-6dd8d46f3ee7,com.pinwheel.desktop,1.0,1.0,7.0
2023-11-23,00771488-2b9a-425f-9171-24a02a53337c,com.apple.android.music,1.0,23.0,24.0
2023-11-23,00771488-2b9a-425f-9171-24a02a53337c,com.microsoft.office.word,1.0,3.0,3.0
2023-11-23,00771488-2b9a-425f-9171-24a02a53337c,com.supercell.clashroyale,1.0,43.0,43.0
2023-11-23,0078cd3f-a0f2-41e6-9a0f-e086c28c455a,com.google.android.apps.docs.editors.slides,1.0,0.0,0.0
2023-11-23,0078cd3f-a0f2-41e6-9a0f-e086c28c455a,com.pinwheel.desktop,1.0,2.0,2.0
2023-11-23,0082069c-b7ce-4c63-aa27-b6a840d039c3,com.pinwheel.desktop,1.0,0.0,0.0
2023-11-23,00841a77-5b95-4ef4-bd98-bd8e59675266,com.evernote,1.0,3.0,3.0
2023-11-23,00841a77-5b95-4ef4-bd98-bd8e59675266,com.pinwheel.contacts2,1.0,2.0,2.0
2023-11-23,00841a77-5b95-4ef4-bd98-bd8e59675266,com.spotify.music,1.0,4.0,4.0
2023-11-23,008826f5-461b-4b38-961a-b64d8a738fd0,com.google.android.deskclock,1.0,0.0,0.0
2023-11-23,008826f5-461b-4b38-961a-b64d8a738fd0,com.sec.android.app.camera,1.0,2.0,2.0
2023-11-23,00899af9-af08-40e8-8237-d53a83dd8697,com.pinwheel.messenger,1.0,0.0,0.0
2023-11-23,0091c2ff-6b37-4348-a54a-26665c024d1e,com.google.android.calendar,1.0,4.0,4.0
2023-11-23,0091c2ff-6b37-4348-a54a-26665c024d1e,com.potatojam.classic.solitaire.klondike,1.0,16.0,16.0
2023-11-23,0091c2ff-6b37-4348-a54a-26665c024d1e,com.voriacorporation.tetris,1.0,29.0,29.0
2023-11-23,0097d2ef-0151-4eaa-813f-484018729cde,com.pinwheel.contacts2,1.0,0.0,0.0
2023-11-23,00980517-42d1-48c5-85f0-93f4357094b9,com.pinwheel.contacts2,1.0,0.0,0.0
2023-11-23,009f3424-47b5-4daf-84f6-8033273cfc06,com.android.wallpaperpicker,1.0,1.0,1.0
2023-11-23,009f3424-47b5-4daf-84f6-8033273cfc06,com.mediatek.camera,1.0,2.0,2.0
2023-11-23,00ac329a-b672-4a24-8e0f-c5a8367302b5,com.google.android.apps.docs,1.0,0.0,0.0
2023-11-23,00ac329a-b672-4a24-8e0f-c5a8367302b5,com.pinwheel.contacts2,1.0,4.0,4.0
2023-11-23,00adea74-309b-49ac-b5ba-d5367b3655a9,com.pinwheel.desktop,1.0,6.0,6.0
2023-11-23,00b2236c-e52c-4ca6-b0a9-fdc300506bea,com.bible.kids,1.0,21.0,21.0
2023-11-23,00b2236c-e52c-4ca6-b0a9-fdc300506bea,com.pinwheel.messenger,1.0,1.0,1.0
