field_id,form_id,id,ref,label,attachment_type,attachment_href,attachment_property_description,_fivetran_synced,_fivetran_start,_fivetran_end,_fivetran_active
AR3gf7GJy4xX,sxgX6rXP,lCgo5u1eTopD,7b832e17-3b80-4f57-a0cf-073939bf8a46,No,,,,2023-05-09 15:55:29.392000+00:00,2023-04-27 22:28:19.957000+00:00,9999-12-31 23:59:59.999000+00:00,True
eqYe2daE18Nu,vgBnsZ5t,fWtak2jrQOaG,485d7e88-d600-439a-86ff-e3f94a3c2f6b,TV is okay but no phones or tablets,,,,2023-05-09 15:57:40.254000+00:00,2021-04-13 19:03:18.853000+00:00,9999-12-31 23:59:59.999000+00:00,True
POv1sN6tP8a5,SlUPej,ovAfHZs6FPNM,ccd48c07-cd87-4575-bf3a-b091a870fa90,Black,,,,2023-05-09 15:58:12.466000+00:00,2022-06-15 01:34:31.308000+00:00,9999-12-31 23:59:59.999000+00:00,True
fhMxA8aL56KU,CeKmJj5Q,wn0yFi8WJI37,510ba5f5-9c90-4131-9184-3d0761f500b8,Probably No Violence,,,,2023-05-09 15:55:58.703000+00:00,2022-10-18 17:36:56.171000+00:00,9999-12-31 23:59:59.999000+00:00,True
TcoNDJUg8XEX,yeS1TlQR,inHsCciL2ZtA,ca76da07-23c4-49c4-8ccd-d042dc656460,"*HIGHLY CURATED.* Follow the therapist criteria thoroughly. I should be able to pick apps quickly, without having to worry about them at all.",,,,2023-05-09 15:57:00.225000+00:00,2021-08-30 23:11:03.231000+00:00,9999-12-31 23:59:59.999000+00:00,True
92X7dtQ2GUvI,F8jt6tYB,kQWtLgNBBp9n,612a9b60-44b9-4f58-a9fa-6588b335a08e,Referral / discount code to share,,,,2023-05-09 15:57:59.398000+00:00,2021-09-29 16:48:40.646000+00:00,9999-12-31 23:59:59.999000+00:00,True
2XDew6xizrsd,hKH1n4Rf,B26a1rTj3uJt,e81c630f-e489-4cba-8cbf-005f651d9727,Internet ad,,,,2023-05-09 15:57:31.260000+00:00,2021-06-11 19:10:06.029000+00:00,9999-12-31 23:59:59.999000+00:00,True
Scyd2yidsemE,CeKmJj5Q,hgniAEHQVXMx,284bb967-0353-4e12-82e8-46eb2dd1bf20,Definitely No Violence,,,,2023-05-09 15:55:58.705000+00:00,2022-10-18 17:36:56.171000+00:00,9999-12-31 23:59:59.999000+00:00,True
ByvG2qE3Cy0E,TlsjoIys,plhKSfGb7OGA,c9edcdd3-210f-439f-8d37-c40c1de36e1d,5,,,,2023-05-09 15:55:23.762000+00:00,2023-04-21 19:05:33.918000+00:00,9999-12-31 23:59:59.999000+00:00,True
BEDJucQeIlXU,XsezE0qD,NqbNI388KPhX,392382b8-08ec-4f54-80d9-fea9efa94afe,And function like it. ,,,,2023-05-09 15:56:18.380000+00:00,2022-06-15 17:07:46.599000+00:00,9999-12-31 23:59:59.999000+00:00,True
2D0KVn2IbQSB,wzxbYq72,RoirgJsZxUqE,dd6b67b2-2b46-45ac-855b-6bf91417540d,Unupgradable,,,,2023-05-09 15:56:45.092000+00:00,2021-11-08 18:00:33.616000+00:00,9999-12-31 23:59:59.999000+00:00,True
bAVRhypreHQp,kpF10uRx,VSqptHHOtlNR,20cfea94-b0d1-4ce0-979b-bc210408010f,3,,,,2023-05-09 15:55:40.974000+00:00,2023-01-06 17:34:41.531000+00:00,9999-12-31 23:59:59.999000+00:00,True
mdZTGKjrG9CK,dXOhQhOt,FTsalqIjPwMA,df314e6d-814f-4169-86da-ada4aa7f7dda,8,,,,2023-05-09 15:56:47.012000+00:00,2021-10-27 15:36:50.842000+00:00,9999-12-31 23:59:59.999000+00:00,True
eBEGfPEYPxEa,zGAJwdex,MUkrm6cIJD4H,01EZ5W56CM8DF6F86D5PPCY3NG,Extremely Disappointed,,,,2023-05-09 15:57:45.898000+00:00,2022-04-15 01:39:06.816000+00:00,9999-12-31 23:59:59.999000+00:00,True
yl0FFoQytauT,wzxbYq72,pnTy39o702BR,5f24312c-89c6-4474-acf5-a38d4d8555ef,Parental Guidance,,,,2023-05-09 15:56:45.089000+00:00,2021-11-08 18:00:33.616000+00:00,9999-12-31 23:59:59.999000+00:00,True
btVgpHHbwMkg,qd1BXBHF,KqrGrzOxNTXU,9f3d9cc0-66bf-459e-84ea-3c9960424994,5,,,,2023-05-09 15:55:43.365000+00:00,2023-01-05 17:17:58.643000+00:00,9999-12-31 23:59:59.999000+00:00,True
Saoqk2AUot0h,kpF10uRx,PaePpvf2rCJY,aa70afed-0987-43cd-9d25-889d694a2927,5,,,,2023-05-09 15:55:40.969000+00:00,2023-01-06 17:34:41.531000+00:00,9999-12-31 23:59:59.999000+00:00,True
vKcV7zAt72Yk,XsezE0qD,ynWx9cgUJDI3,bfef6ad6-866d-455e-b29d-13c787e759cc,Or to save and move on to remaining steps,,,,2023-05-09 15:56:18.379000+00:00,2022-06-15 17:07:46.599000+00:00,9999-12-31 23:59:59.999000+00:00,True
tClXsEkbLMyD,WtnwWfU9,mJbURqZZTErp,9e11fcbe-3ad0-4fc6-878d-56ababcc104c,Moderately Helpful,,,,2023-05-09 15:56:43.019000+00:00,2022-03-08 19:16:55.484000+00:00,9999-12-31 23:59:59.999000+00:00,True
brSOkPhLc2ze,D2ZGBXmn,rgSdeasMmFSx,886438e2-5583-4d6b-bc9d-d02093c2bb1c,Transparent,,,,2023-05-09 15:55:22.705000+00:00,2023-05-08 19:11:24.487000+00:00,9999-12-31 23:59:59.999000+00:00,True
3ML2FNyWcD8y,PibwM1Mb,2S8OuzwS0ytT,4b7913be-1763-4f89-bb19-820a692afbf4,4 weeks<,,,,2023-05-09 15:57:35.810000+00:00,2021-05-20 02:50:50.154000+00:00,9999-12-31 23:59:59.999000+00:00,True
BNx7A32gfOet,MKXagAlh,ads5sHy2Sts4,ef95e694-e293-48c5-835e-874e792bfd1a,(N/A) Not Applicable,,,,2023-05-09 15:57:28.726000+00:00,2021-07-22 14:55:18.641000+00:00,9999-12-31 23:59:59.999000+00:00,True
FJ0zcDSQojiU,D2ZGBXmn,TD7MOdAWTNyF,2035d76b-b397-4c58-aeeb-ba39596da2e8,Neither agree or disagree,,,,2023-05-09 15:55:22.695000+00:00,2023-05-08 19:11:24.487000+00:00,9999-12-31 23:59:59.999000+00:00,True
tsr4Nj6zsooA,CBJ5YM86,KQpg4XG3lLPy,072c5c7e-8368-44e2-8c2e-a4b1791d913b,2 Years: Rugged 3 ($74.99),,,,2023-05-09 15:55:41.463000+00:00,2023-01-06 17:09:18.282000+00:00,9999-12-31 23:59:59.999000+00:00,True
mdZTGKjrG9CK,dXOhQhOt,l2Z9bFtc6yE0,c1d76b2c-8cc8-4465-88f3-20276a1e4761,11,,,,2023-05-09 15:56:47.013000+00:00,2021-10-27 15:36:50.842000+00:00,9999-12-31 23:59:59.999000+00:00,True
P5zyghtKqCU1,eP2SuErS,vQdT8UmfYyh3,6fe2e3bc-6189-4ec1-82dd-ce3f719cf53f,No,,,,2023-05-09 15:57:29.553000+00:00,2021-07-14 18:51:34.612000+00:00,9999-12-31 23:59:59.999000+00:00,True
vS2XeHtPtO0Y,D2ZGBXmn,NvV8dXr9j8qr,db1093d3-d307-4d79-abc8-0dcda270f21c,Neither agree or disagree,,,,2023-05-09 15:55:22.690000+00:00,2023-05-08 19:11:24.487000+00:00,9999-12-31 23:59:59.999000+00:00,True
gppyxbHvJqOl,kpF10uRx,2CrE9wXr68tF,48222059-6905-4850-9ac0-0b7cb3c16fbe,CS 7642 Reinforcement Learning,,,,2023-05-09 15:55:40.966000+00:00,2023-01-06 17:34:41.531000+00:00,9999-12-31 23:59:59.999000+00:00,True
l5AnKwCBOiz6,tfFJLomK,68U1QqyfaIe7,76a99e81-542a-4350-b69f-8449477cb156,12,,,,2023-05-09 15:56:12.391000+00:00,2022-06-24 15:24:46.550000+00:00,9999-12-31 23:59:59.999000+00:00,True
aVTtif2V8dLo,UKxdVnQv,YQ5lyZRN6ufn,3f69fc3b-b54f-494e-8a7d-607fefded6d3,"*I need help, reach out to me.* Our customer care team will follow up asap to help!",,,,2023-05-09 15:55:59.801000+00:00,2022-07-12 19:11:56.721000+00:00,9999-12-31 23:59:59.999000+00:00,True
18DUCwb80FdS,CeKmJj5Q,H1gOC3VJ2KaS,1648080c-3743-453c-b937-9be3cfa9cfd6,Definitely No Violence,,,,2023-05-09 15:55:58.709000+00:00,2022-10-18 17:36:56.171000+00:00,9999-12-31 23:59:59.999000+00:00,True
bbb7HMf31Ix9,XUa9ggXY,50V71zZlSNES,76a99e81-542a-4350-b69f-8449477cb156,12,,,,2023-05-09 15:57:34.442000+00:00,2021-05-21 20:28:16.020000+00:00,9999-12-31 23:59:59.999000+00:00,True
POv1sN6tP8a5,SlUPej,lQvH5oUrPehd,5d6df0bf-d2d1-4729-ada4-fa99c130a863,Teal,,,,2023-05-09 15:58:12.466000+00:00,2022-06-15 01:34:31.308000+00:00,9999-12-31 23:59:59.999000+00:00,True
5tXsxIxJiBsz,Jr3UXdoc,zAbCH067Qa8m,76a99e81-542a-4350-b69f-8449477cb156,12,,,,2023-05-09 15:55:59.073000+00:00,2022-11-01 19:12:29.276000+00:00,9999-12-31 23:59:59.999000+00:00,True
P4kG5SyBS4Md,D2ZGBXmn,FA7c5W7NGFfX,9ac54733-0a30-4912-87ff-a7f46960104d,Prefer not to say,,,,2023-05-09 15:55:22.682000+00:00,2023-05-08 19:11:24.487000+00:00,9999-12-31 23:59:59.999000+00:00,True
P4kG5SyBS4Md,D2ZGBXmn,kMOvRkPd1sIO,7c43fb2c-825c-4f14-9906-04e8298c9de8,3rd Party Apps,,,,2023-05-09 15:55:22.679000+00:00,2023-05-08 19:11:24.487000+00:00,9999-12-31 23:59:59.999000+00:00,True
ywZ9ENKyZm9B,v5fs4MLL,fsR21VubTkyP,a97c293e-4ed7-4714-9d7c-fb1151be7353,Dual Layer - Aqua $14.99,image,https://images.typeform.com/images/GUbTYyYUVwpV,Dual-Layer-Case_A13-5G_Aqua (1),2023-05-09 15:55:43.784000+00:00,2022-12-09 22:00:17.983000+00:00,9999-12-31 23:59:59.999000+00:00,True
SN80oRdZ79xU,Wez0q1nI,Z436QdU6crV5,79089ccb-cc36-4d82-a02c-2137f0079c6c,"No, I have other housing elsewhere and would participate remotely.",,,,2023-05-09 15:58:12.282000+00:00,2023-03-30 19:05:43.137000+00:00,9999-12-31 23:59:59.999000+00:00,True
Saoqk2AUot0h,kpF10uRx,9sOOeV3MeH4P,15120a4f-c2f2-4197-9ca5-298dd361c4e2,1,,,,2023-05-09 15:55:40.968000+00:00,2023-01-06 17:34:41.531000+00:00,9999-12-31 23:59:59.999000+00:00,True
Eu3gnQOYVMLC,TlsjoIys,dweWLwCLbgla,d72ef7ac-573e-47a9-8a6b-bc09bdaa4a68,1,,,,2023-05-09 15:55:23.779000+00:00,2023-04-21 19:05:33.918000+00:00,9999-12-31 23:59:59.999000+00:00,True
R71W01Jopmrf,GvORz64M,E7UsFEwxIpGD,c1519aaa-8b65-400b-ab8d-89437fef23e7,Definitely yes,,,,2023-05-09 15:55:51.665000+00:00,2022-10-31 21:24:51.163000+00:00,9999-12-31 23:59:59.999000+00:00,True
85hqXJPphthg,I4ZQHmc7,LDXUtfZ3jGqi,16165832-c1b6-47bb-a641-572007e60fd7,High school,,,,2023-05-09 15:55:40.278000+00:00,2023-01-11 04:59:05.211000+00:00,9999-12-31 23:59:59.999000+00:00,True
iUlJhUwFluF4,HexkhBho,F9tTb7hDCA7T,6609c487-46d6-485d-a443-86832a3a3fc7,I don't think any participant is/was in real danger,,,,2023-05-09 15:55:54.912000+00:00,2022-10-28 18:05:04.979000+00:00,9999-12-31 23:59:59.999000+00:00,True
IyUEssDbitdv,CBJ5YM86,F5BVjJAhImj6,50be6552-f9d2-4584-bc6e-8b7a176c803a,Pinwheel Plus 2,,,,2023-05-09 15:55:41.459000+00:00,2023-01-06 17:09:18.282000+00:00,9999-12-31 23:59:59.999000+00:00,True
H9m51GApJf2L,CeKmJj5Q,Uwji1uZhsb8D,12e63b05-3b88-43ed-b966-4dd2e04ead11,Probably No Violence,,,,2023-05-09 15:55:58.711000+00:00,2022-10-18 17:36:56.171000+00:00,9999-12-31 23:59:59.999000+00:00,True
