id,active,created,description,display_name,inclusive,jurisdiction,livemode,metadata,percentage,_fivetran_synced
txr_1N611PFCPJnn9IgIjuyuCJfU,False,2023-05-10 00:36:47+00:00,,Sales Tax,False,California,True,{},10.25,2025-08-11 00:33:24.388000+00:00
txr_1R9knCFCPJnn9IgIUMmKiSjm,False,2025-04-03 10:14:38+00:00,,Sales Tax,False,North Dakota,True,{},7.75,2025-08-11 00:31:10.703000+00:00
txr_1P0oEEFCPJnn9IgIDmoikpiY,False,2024-04-01 17:01:02+00:00,,Sales Tax,False,Georgia,True,{},8.5,2025-08-11 00:33:24.856000+00:00
txr_1NDxySFCPJnn9IgIWaGENZSR,False,2023-05-31 22:58:36+00:00,,Sales Tax,False,North Dakota,True,{},8.0,2025-08-11 00:31:48.394000+00:00
txr_1N8mcPFCPJnn9IgIiXXYwjGH,False,2023-05-17 15:50:25+00:00,,Sales Tax,False,Arkansas,True,{},10.5,2025-08-11 00:31:46.570000+00:00
txr_1RLRS5FCPJnn9IgID2UF6kh9,False,2025-05-05 16:01:09+00:00,,Sales Tax,True,Colorado,True,{},8.2,2025-08-11 00:33:24.418000+00:00
txr_1N6Dr5FCPJnn9IgIM5H9oUph,False,2023-05-10 14:18:59+00:00,,Sales Tax,False,Georgia,True,{},8.9,2025-08-11 00:33:30.284000+00:00
txr_1RuR7zFCPJnn9IgIXTztmsiU,False,2025-08-10 04:45:03+00:00,,Sales Tax,True,Colorado,True,{},6.7,2025-08-11 00:33:24.359000+00:00
txr_1RujdpFCPJnn9IgIyyX64vL0,False,2025-08-11 00:31:09+00:00,,Sales Tax,False,Oklahoma,True,{},6.8,2025-08-11 00:31:09.497000+00:00
txr_1P4PcMFCPJnn9IgIh1C4bvtW,False,2024-04-11 15:32:50+00:00,,Sales Tax,False,Washington,True,{},7.5,2025-08-12 00:31:24.251000+00:00
txr_1NEEvXFCPJnn9IgIeHjuDGvJ,False,2023-06-01 17:04:43+00:00,,Sales Tax,False,Arkansas,True,{},10.25,2025-08-12 00:34:06.416000+00:00
txr_1R5wWEFCPJnn9IgI0q6N9sqF,False,2025-03-23 21:57:22+00:00,,Sales Tax,False,Pennsylvania,True,{},8.0,2025-08-12 00:31:27.862000+00:00
txr_1OtEeOFCPJnn9IgILeJCQUIj,False,2024-03-11 19:36:44+00:00,,Sales Tax,False,Alabama,True,{},8.25,2025-08-12 00:33:53.698000+00:00
txr_1PxguLFCPJnn9IgIU3OmV5Fd,False,2024-09-11 03:07:53+00:00,,Sales Tax,False,Colorado,True,{},2.0,2025-08-12 00:33:46.519000+00:00
txr_1N7SO7FCPJnn9IgIyYJNcnQE,False,2023-05-14 00:02:11+00:00,,Sales Tax,False,Oklahoma,True,{},8.7,2025-08-12 00:33:53.867000+00:00
txr_1RsbUYFCPJnn9IgIvEHwB0gk,False,2025-08-05 03:24:46+00:00,,Sales Tax,True,Ohio,True,{},7.5,2025-08-12 00:33:57.722000+00:00
txr_1QfxfHFCPJnn9IgIp2RwNwxj,False,2025-01-11 05:55:19+00:00,,Sales Tax,False,Colorado,True,{},9.15,2025-08-12 00:33:49.504000+00:00
txr_1RJblKFCPJnn9IgIw5UClxsc,False,2025-04-30 14:37:26+00:00,,Sales Tax,True,Rhode Island,True,{},7.0,2025-08-12 00:33:48.369000+00:00
