checkout_session_id,allowed_country_code,_fivetran_synced
cs_live_a12LrFgtbVaQ6YbqJfqUAD2bq531w1Km7hbJiqZIlm0Ia0efnjhu50rK1W,CA,2024-08-14 00:43:54.130000+00:00
cs_live_a12Ps1P55ZQoIpyYKWcn7bFdyrDMKmSmzhSvmvfyMyMGlyTVxXPRBJfxpw,US,2024-08-14 00:47:17.164000+00:00
cs_live_a12R8AroeGigtM6ImU5r0BnNqqkrCAEZvzgurHWI4C1EgabGdyxpQB6RlD,US,2024-08-14 01:00:00.976000+00:00
cs_live_a12SlenG0S072vvVUxpmNaPYPTZ3a5LPgLiGaSAhJhCMU2QiyjREHsjF7t,US,2024-08-14 01:00:50.076000+00:00
cs_live_a12Z16Qogtp48URNq4VYM1A7Uky2OC6RQUo6IsbU2PGfaEX83UiUDwnILk,US,2024-08-14 00:45:33.266000+00:00
cs_live_a12ZWVdp8yjhRaqLSlg3aD6xpXpcuSOuYMJcKV4GS7HHqoLEwmJeLXT9Hj,US,2024-08-14 00:58:36.357000+00:00
cs_live_a12dviQxFuI1Y0M0xH750sWTgstgDSH3W4CcB6VcyRolNOtMTuOlfYHD4J,US,2024-08-14 01:00:58.108000+00:00
cs_live_a12dwJDeu3jc98jqfBuq0Z44LOslAEe3dKdfVeqaXtAIeArHA3dAYZfIdb,US,2024-08-14 00:51:00.131000+00:00
cs_live_a12dyGR7PHepogdcgIjwn5rCzGzQBma4kLvwZbDECStgG7NK9oN2xDERxX,US,2024-08-14 00:54:37.181000+00:00
cs_live_a12fFUaYc3tOZjFyN4eF6Rqje26rKXeCZWPFsonvhUxWjUq0eVeeBsyx0E,US,2024-08-14 01:00:36.504000+00:00
cs_live_a12pPO0gSu2oN0vtzTIGn1ARRqnqCGmfhBqUNvQAG9zdWvcYQXKgzNwP2W,US,2024-08-14 00:52:36.211000+00:00
cs_live_a12pPnRQFEGwL3dcqwVOz3QRmuRzwYJ8O2B9m8K4ypkzbwYCFB4lwoCpio,US,2024-08-14 00:53:50.740000+00:00
cs_live_a12x0QSf9TQVzKgmguCk4E7Vs2inwaEPpgjinSXO9zsdZdtHXIx7mMhwUO,US,2024-08-14 00:52:32.983000+00:00
cs_live_a12yyMVU69yoJ48Cp4lwfcItmORaCcyHOuGxrvpUYc7QElmUdntwt4O4Ni,US,2024-08-14 00:53:35.783000+00:00
cs_live_a12z7YR55UiImR51WgonEIZBqnTCqi555H5fjyiNV5yxDmC9vR8KFMfGR1,US,2024-08-14 00:54:22.119000+00:00
cs_live_a132tPzjsvJVTqNxdxpekG0kpRL4qzqizyNspEQZhnDFmRxGVPqeW1dStV,US,2024-08-14 00:42:13.175000+00:00
cs_live_a133Z0WmyGsLC3nHhYeJkPRhRddai16KfSxMLEnqJzqa7tZRGL1GdonNtl,US,2024-08-14 01:00:36.505000+00:00
cs_live_a133g8aPIO9bS9gw9JekR4N9dzQxvPL6hWjxMjatLHWZBPLZdX9oZ4KfBF,US,2024-08-14 00:48:47.338000+00:00
cs_live_a134zExrUyFMtk8sSOrpNzA9Na2zlOl3l2NSKnSUFJvqXKnI9AsK2bWmNT,US,2024-08-14 01:00:39.227000+00:00
cs_live_a13657F9nuQsJopshARdQSu9KByhJvcOMPqI89xUguFIMFFgY7dqN3ouXz,US,2024-08-14 00:50:02.930000+00:00
cs_live_a137TNMujy0aaYUHhMkgbW3xHPdvwDZDtY1anod0hKGWn4fRQxhqOlkJYx,US,2024-08-14 00:57:15.881000+00:00
cs_live_a139rzzKHp9AMRgJEZyYMUypi8ccqZdFl8ng500HFGojAXsWYHr159kONT,US,2024-08-14 00:56:14.550000+00:00
cs_live_a13AxTiPevbtv44U8uDLa19RdzmjzkEBHm9ZMkgUA1FnKoHyFyr4Im5mt1,US,2024-08-14 00:56:05.089000+00:00
cs_live_a13CdxSKpyo6IaB6pSVRKlekjOHrVYs5oMTuf8QJsjLDP9EGOzOCrTjfgI,US,2024-08-14 00:53:20.296000+00:00
cs_live_a13FT1b0FVfx9fPPo5WU3L47CkTLTNLRR3oWvv3HVK29qfpxvSa1gIaJv2,US,2024-08-14 00:59:49.287000+00:00
cs_live_a13G3aU4F97sjE9R8wREVHBnM2kHtBUO7qRmLlcx93qO7yMd4QgEfuflqv,US,2024-08-14 01:00:44.586000+00:00
cs_live_a102ydJKXJUaWGE7zjNOSJBzCYwY7E2nC9s4lhfUdWjb9BvN4luqsglxjv,US,2024-08-14 00:50:05.721000+00:00
cs_live_a105ZnADFXrmfxobJWT3228e68MMFMxyNr5RQYqnn1ijZAbP1sjBM03bMD,US,2024-08-14 01:00:39.230000+00:00
cs_live_a10D4zkiiCot6z7mIHldqE87FB0KaGoRpJL4saA0n9pWXWTIP30J44n2sE,US,2024-08-14 00:49:22.731000+00:00
cs_live_a10ETEORbYFKDfIABjMFcDS4Ny3xCmvdEYSG7mWpIPqcInJhFnurThWi71,US,2024-08-14 00:41:53.799000+00:00
cs_live_a10Q7UMb6J1nAxO9oMaqfZk1Ye40gURMsoCGGWXWG6OTJkHYikD3BU6Clp,US,2024-08-14 01:00:58.110000+00:00
cs_live_a10Trarh2rnlZZHu5WbwqxQwSia0MdxbTuN6bzpHThLMoRBuaqgn2F28rR,US,2024-08-14 00:43:41.012000+00:00
cs_live_a10WFx6Q3WkYm1BHJmQ2GOyjcHFXQKiR2GvabGpUb1dBSTrtifojVYqZxz,US,2024-08-14 01:00:28.119000+00:00
cs_live_a10WSWKHChdMvhgEpyiY4GrQoC0h5m7f3HryShWuOE70GrtgQOKlkng6Wk,US,2024-08-14 00:49:25.782000+00:00
cs_live_a10Zb7eHXsVHM5AAskDAsAJ29mcKcTBf43hx0duPG1dpgWT4i6y2ut0UTY,US,2024-08-14 00:43:06.546000+00:00
cs_live_a10Zxo1FSS8OVst9KMitwVoyxtbWOtCeZG2BEaEyONG76Cl12rpxJ78fkC,US,2024-08-14 00:49:44.502000+00:00
cs_live_a10axcaYbdJToFhPkOJG7WzctZgQg2gq8bbOUgXzFB1Q01NsWVowXa3T0r,US,2024-08-14 00:54:40.290000+00:00
cs_live_a10e6BKl7H1vCSrWZd0AvfDCgECjd8L5cSYhGjs3Wwir7Iqf2VdQC4KOZS,US,2024-08-14 00:59:38.675000+00:00
cs_live_a10eZDxj0EhivUEJ2o3EBXqUm3hyD7WRNsZyzMZXnyNkJ5jIiV473WYKab,US,2024-08-14 00:59:35.689000+00:00
cs_live_a10esnLiDJaXpj5u0i3KgyjBhzMDJNqgKYwMqurMTI83orYlF2BOGNhaY5,US,2024-08-14 00:51:37.308000+00:00
cs_live_a10fToZM5ScRaN3IlKVIruMDWUPmQSB7BogOhLyFAZ1hQKTmP9obtWDBGo,US,2024-08-14 00:53:44.756000+00:00
cs_live_a10fVJHGlFaAAYvavsmQUNoc5aotYaKxXryXghoHGBSYBmYwePIIZx2QnA,US,2024-08-14 00:56:17.573000+00:00
