invoice_id,unique_id,id,amount,currency,description,discountable,livemode,metadata,period_start,period_end,proration,quantity,type,plan_id,price_id,subscription_id,subscription_item_id,_fivetran_synced,invoice_item_id,unit_amount_excluding_tax,amount_excluding_tax
in_1Pk8GiFCPJnn9IgI4zdMJBWG,il_1Pk8GiFCPJnn9IgIbNbce0xf,il_1Pk8GiFCPJnn9IgIbNbce0xf,499,usd,1 × Subscription (Monthly) (Tier 2 at $4.99 / month),True,True,{},2024-08-04 17:29:07+00:00,2024-09-04 17:29:07+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1Mly8NFCPJnn9IgIkDwIJjBg,si_NX2CYK62b1CxWz,2024-08-14 01:47:24.740000+00:00,,,
in_1Pk8GiFCPJnn9IgIDzMt4iap,il_1Pk8GiFCPJnn9IgIAIcmDO0D,il_1Pk8GiFCPJnn9IgIAIcmDO0D,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:29:24+00:00,2024-09-04 17:29:24+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1NUCHYFCPJnn9IgIQa7vlSPk,si_OGjlsnauanafAX,2024-08-14 01:47:24.740000+00:00,,,
in_1Pk8HPFCPJnn9IgIrV5AMtBN,il_1Pk8HQFCPJnn9IgIiLonURPm,il_1Pk8HQFCPJnn9IgIiLonURPm,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:31:39+00:00,2024-09-04 17:31:39+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1Pk8HPFCPJnn9IgIbe00BfCS,si_QbKxwGpzyqJTB3,2024-08-14 01:47:24.740000+00:00,,,
in_1Pk8JMFCPJnn9IgIgiizvdyB,il_1Pk8JMFCPJnn9IgIvDcAJzVH,il_1Pk8JMFCPJnn9IgIvDcAJzVH,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:32:53+00:00,2024-09-04 17:32:53+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1OCQTpFCPJnn9IgI5TLCPTPH,si_P0RM1Iw5XBpTSo,2024-08-14 01:47:24.740000+00:00,,,
in_1Pk8LBFCPJnn9IgIHe2JeHXd,il_1Pk8LBFCPJnn9IgIbpcSWt8T,il_1Pk8LBFCPJnn9IgIbpcSWt8T,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:33:10+00:00,2024-09-04 17:33:10+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1P1u9yFCPJnn9IgIPEu4Cz3D,si_PrdQ5GFytRmMyO,2024-08-14 01:47:24.740000+00:00,,,
in_1Pk8LCFCPJnn9IgIdwJNXal4,il_1Pk8LCFCPJnn9IgIndiPFkMD,il_1Pk8LCFCPJnn9IgIndiPFkMD,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:34:14+00:00,2024-09-04 17:34:14+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1M46XyFCPJnn9IgIJSOYtv0P,si_MnhxCvvOGrHsN7,2024-08-14 01:47:24.740000+00:00,,,
in_1Pk8Q4FCPJnn9IgIjlF5i8xb,il_1Pk8Q4FCPJnn9IgIDaPdTFIe,il_1Pk8Q4FCPJnn9IgIDaPdTFIe,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:39:35+00:00,2024-09-04 17:39:35+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1LLsUFFCPJnn9IgIKv0E8B07,si_M40V4noyV2n4pq,2024-08-14 01:47:24.740000+00:00,,,
in_1Pk8WzFCPJnn9IgIcfXxnZmh,il_1Pk8WzFCPJnn9IgInWMUD0E9,il_1Pk8WzFCPJnn9IgInWMUD0E9,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:47:19+00:00,2024-09-04 17:47:19+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1MwqiRFCPJnn9IgIL6qWM6Lg,si_NiHGrYWy9P19r2,2024-08-14 01:47:26.016000+00:00,,,
in_1Pk8X7FCPJnn9IgIWjZJLtZP,il_1Pk8X7FCPJnn9IgI5Ei4FkhR,il_1Pk8X7FCPJnn9IgI5Ei4FkhR,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:46:37+00:00,2024-09-04 17:46:37+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1LAdp3FCPJnn9IgInAS8omlK,si_LsOcOUttcT54aC,2024-08-14 01:47:26.016000+00:00,,,
in_1Pk8eOFCPJnn9IgIMd1wEa7s,il_1Pk8eOFCPJnn9IgI3I0kNo7o,il_1Pk8eOFCPJnn9IgI3I0kNo7o,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:55:24+00:00,2024-09-04 17:55:24+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1Pk8eOFCPJnn9IgI6I6k0NLA,si_QbLLVGGbh8W5T5,2024-08-14 01:47:26.016000+00:00,,,
