tax_rate_id,checkout_session_id,amount,_fivetran_synced
txr_1N6N61FCPJnn9IgI2z5wJyb9,cs_live_b1a1ZGSQNgJm6i6LM9pnNJ4JQaHigLltrjq8mL6j2IFnRzXIenckipROSK,724,2024-03-23 00:03:46.203000+00:00
txr_1N5s5XFCPJnn9IgI9erESt9E,cs_live_b1NZHu3p5ZFRBAMXknSedgg8kg37i1U8h4VLtDRWx9aMqdhMaG7iWs4s1u,0,2024-04-07 00:07:17.383000+00:00
txr_1N611PFCPJnn9IgIjuyuCJfU,cs_live_a1glifK3cJtV7Krl6uUu3t7l6FQQBvgh4Z3kT2ZlzdANppjlyev3D9dHhq,3885,2024-04-08 00:06:30.709000+00:00
txr_1N6AuFFCPJnn9IgIa5VMNcIE,cs_live_b1jnKl8srzedfxvGmWPrVaOoTyrvMDedepfEu8Li02XeYFstT5QtuVHzNa,675,2024-06-05 00:08:19.785000+00:00
txr_1N8r6iFCPJnn9IgIqa7Zw13o,cs_live_b1b9wBBCtbsFJBUmCNU3m1LsC9klawR7zvH0Vr2aozsEpclQoGF5xhfgdJ,353,2024-06-23 00:07:27.332000+00:00
txr_1N87xfFCPJnn9IgIDXRKuboR,cs_live_b1599QLKXME8KKvY9FH9wDnjdlUPSVH7urD8Tgn3g3AWQHkEmfYgKFoAgs,2488,2024-08-14 00:53:08.328000+00:00
txr_1N63zXFCPJnn9IgIM7YntHa0,cs_live_b1GL66145T5QDipAgk3Lg2klJ4BsZKVIDeHmnP60DAKxHcj89asCzDJJ2X,724,2024-08-14 00:47:38.777000+00:00
txr_1JPNb3FCPJnn9IgI2uDNfcNV,cs_live_b1XHxzuZfJxyfSL6XvjHAG0ScLt8Itkb2jpuAzzbgtcXyBbenn0jeqrQax,1911,2024-08-14 01:02:49.056000+00:00
txr_1JPNIWFCPJnn9IgIsVzClFgw,cs_live_b1ZkIB3G6idyBu8ygum7WchUrYSbTDZVEG73iL6TnoAZBnhkXAhuBs8aJA,2900,2024-08-14 00:56:46.421000+00:00
txr_1N5oOqFCPJnn9IgIxGnfAIbU,cs_live_b1GtMWWbqXdmT0aRVkFCXakqsvdPAnsVJPKD2tiuu51AbWsp3djb4CTpcO,0,2024-08-14 00:54:30.801000+00:00
txr_1JIuUmFCPJnn9IgITWdA9WaI,cs_live_b1F3YYiBkVcNraHrqFZTnDMEVWocvO4Qot48Twpw2Pm6p5Ewrg5S2N5BmQ,2137,2024-08-14 00:58:08.204000+00:00
txr_1N5qECFCPJnn9IgI6xI7IwlW,cs_live_b1stGaVf9aW22xSFC3DoOhH8UUg020rNe0mybayIGGYivPnyGwjiIoLocy,850,2024-08-14 00:47:41.928000+00:00
txr_1JUwnRFCPJnn9IgIOiIfrujL,cs_live_a1Skz7qPEcnjITO5HSztFFcTQo9zflXNUp2UVoFP7lTU6aKj2OXD3q94sK,3647,2024-08-14 00:59:35.691000+00:00
txr_1N5t4MFCPJnn9IgIY3oicm8k,cs_live_b1wJobQ6VWP09fMGT4f0W6zkR4DRT5ZKhINqJ861D0bJiRMheewF7C9nRQ,240,2024-08-14 00:44:46.038000+00:00
txr_1JUwnMFCPJnn9IgIlsaevliK,cs_live_b1IpzQ75YTvEehgupmq2f4KfT1TwbeepRH4XXsG6gfq9wJyF3h3lRLWt1W,1974,2024-08-14 01:02:06.255000+00:00
txr_1JPNoZFCPJnn9IgI2DqYXwDo,cs_live_b1hVOEKcyrCwTmsxygN0Lx37ysaCTpw9xhkWNNnlA9geOOthucGUSCZkCW,2423,2024-08-14 01:03:19.650000+00:00
txr_1N5tZZFCPJnn9IgI257hpdtT,cs_live_b1XlMQsmuDSDcfPH6YIS7CZTDywnME4tEHcVTRGenDLKBVUd01aF38Yfwa,5586,2024-08-14 00:54:37.183000+00:00
txr_1N6FPlFCPJnn9IgISt7QH7As,cs_live_b18FtT7lHW6bdj3PLdSNMAxf35dFB8u6zdOwrEDWcXFX5L2KWb6DiQuIad,1947,2024-08-14 00:49:06.806000+00:00
txr_1N5qECFCPJnn9IgI6xI7IwlW,cs_live_a1SUJzAQXa0pjuDnbR9gW53VouZKw98ggQeZwqn8njedJkRGuxLNC3EYsa,3539,2024-08-14 00:49:29.062000+00:00
txr_1N5qECFCPJnn9IgI6xI7IwlW,cs_live_a12fVeWPQsExHyE7d9yW9V8EeScWBYwF01IqYRcR2dwJZymzTBx4B5r0vd,4034,2024-08-14 00:55:19.058000+00:00
txr_1JPOBeFCPJnn9IgIS74GeGJS,cs_live_b1HOWMc9qg1RX6e0NP19nuxsOH9sWkV03aSgsM5R2gSieX6tCZFnCZwBGW,3366,2024-08-14 01:04:55.103000+00:00
txr_1N5xzTFCPJnn9IgIDGVUTh4M,cs_live_b1vvhsL4qfoyPl5dz4FK4vDm7gHuUGDkFNVSD9V1xX9vYN6xBQaLIFzo2E,2464,2024-08-14 00:47:02.433000+00:00
txr_1JUwnQFCPJnn9IgIIgncMy6X,cs_live_b1NQAbyGCHn41YEXIYxh1DIMjFGeKxBFouwJRohhPdC01fTG0RDsJYBOWe,3142,2024-08-14 01:03:51.086000+00:00
txr_1JUwnXFCPJnn9IgIUmKueGKN,cs_live_b1UsnooxRCg5DP5QTvQlTaaupoX92pdtva49yG2CGa3QjLENggq8u7SiSB,1533,2024-08-14 01:05:09.094000+00:00
txr_1JPNX8FCPJnn9IgI5Jgkb1Q4,cs_live_b1K2o7YW55g8J716ifhFlaZMRc5jL0VgbPYhDUA5ckH3V9BDfANjBZgxzE,2534,2024-08-14 01:09:53.512000+00:00
txr_1JPPASFCPJnn9IgIufFF5zkM,cs_live_b1nqJub8PvFTIxNvWyqA6PKuWUg6v5uRhSIArsRku1ZyNeMemIuEf2fGaB,1493,2024-08-14 01:04:14.982000+00:00
txr_1JUwnRFCPJnn9IgI4hUG7x4V,cs_live_b1iC2Smkpofdb1HpQntDHDzFH8ZJBACR8TQxBJPY2I1pps6sDCtPUj27W2,2199,2024-08-14 01:14:51.381000+00:00
txr_1N5rnSFCPJnn9IgIyIVlhMoI,cs_live_b1l7q1osLhq67mmeut8bguf9rXyUyLoO7GwO9ynf79lZeIQWctiCX4T80S,2245,2024-08-14 00:42:38.391000+00:00
txr_1JPOQKFCPJnn9IgIRJLYYKOo,cs_live_b1Jg1BgDQvJFr0nrkXkt1rAgGYHd61fajbOWXwpwSyhJHt86VYdolynr68,1350,2024-08-14 01:18:36.339000+00:00
txr_1NP3PJFCPJnn9IgI0pAeYrtv,cs_live_b1OlTNGe1MiI7iffHhcZjQiyCtjMoYGkL0P4cQ07LBlLNFYHSWS97aXewM,840,2024-08-14 00:51:17.463000+00:00
txr_1JPNgtFCPJnn9IgImVePBTip,cs_live_b1IN96d2eSeJuQSLJzUPWoIQ3w5NEHn7ZmaYia6OtvV8AxkASZwf5mGKJH,2080,2024-08-14 00:58:39.634000+00:00
txr_1N6AuFFCPJnn9IgIa5VMNcIE,cs_live_a1z4DWlkg2U11pwtxj95OcGcpJDHf7jL9lDyYgQrWwW15zrK18wom2rs10,2423,2024-08-14 00:51:37.309000+00:00
txr_1JPNWGFCPJnn9IgIJyX9QiAV,cs_live_b1toSV53uV5PVBjMQBAjJJ7SmdiASecrtajqM8mPIYphMP1aukyfJox0pK,2303,2024-08-14 01:08:46.699000+00:00
txr_1N5yJBFCPJnn9IgIgSd2jlWu,cs_live_a153R0qF7dp7eu01nNUtHrHPgmPzsODUNWaaquMHIRFvbF7dIaOd6oGQOG,4122,2024-08-14 00:54:51.472000+00:00
txr_1JPON8FCPJnn9IgII2HAk93q,cs_live_b1EK29tGdyFViZuklftaXHGJX5iWw1NGxnazz7S3obitaDCrPZCyQBhwSv,110,2024-08-14 01:04:11.656000+00:00
txr_1N6JXIFCPJnn9IgIUWe9sKxF,cs_live_b1rSAkg5Rub9QIrRLiYiNpQVEETq9Zejo3KU0eVmFgtvvxDgGL7tbI6ncb,5154,2024-08-14 00:42:38.392000+00:00
txr_1JPNZDFCPJnn9IgIvpF0f16V,cs_live_a1eKIBi3z3Y9kO28h6tppdQFj1Gxpto6D86a627epWxOFYJ3KDC8cqHePs,1914,2024-08-14 00:59:44.162000+00:00
txr_1N5xzTFCPJnn9IgIDGVUTh4M,cs_live_b1NTqbeGM5Lepg297v8LOvml0DxtHdmwD0HUCa1zu28BBltgKOrybs84kG,1232,2024-08-14 00:49:35.051000+00:00
txr_1N5zTMFCPJnn9IgISQBkMugR,cs_live_b1bm6RYkf4eOLy4qDS2WTJOg9cDgXqrVsB0JcIN4JKICkLkHBKRqRbFw5f,3108,2024-08-14 00:51:59.852000+00:00
txr_1N5qlVFCPJnn9IgI8TkWvOcb,cs_live_b19NbJV73TgaOQVwr3Av17OxGasEMCgmOdCdJvWd6Cr3qJ90HhPo0CohFW,4128,2024-08-14 00:50:44.149000+00:00
txr_1N5zzgFCPJnn9IgI238LTfjJ,cs_live_b13j8eDMsnsDSgO9m8DTkrbKbj1jGyD2CmfFDxRnieep1Iz2RkGw8AH1lo,3929,2024-08-14 00:55:01.230000+00:00
txr_1N5qECFCPJnn9IgI6xI7IwlW,cs_live_b1jMyL8OPdcKm8K7CnsLaaG0htuABisj06anR0xGu5KxCz2a03CLipXIHo,3185,2024-08-14 00:56:14.550000+00:00
txr_1JIuUmFCPJnn9IgITWdA9WaI,cs_live_b1UAR7JkI04EbYM7fLpnv2JbJecTexXMvQxIMl4hW57OJpVMo5QtbX9p9o,2063,2024-08-14 01:18:23.133000+00:00
txr_1N5qlVFCPJnn9IgI8TkWvOcb,cs_live_b1cp2embrkrHocLqpmvvLAu76nV10WAmhBiVhN2qz8Dyt1Ax16SdDXmYB7,3534,2024-08-14 00:52:36.206000+00:00
txr_1JPNXmFCPJnn9IgItM5YUAqU,cs_live_b1zdUfDo9DxgjuQ1aMDhld5MOYjpyOWOe9FE62HTLeldt80wCBTla3rHrN,2594,2024-08-14 00:59:20.158000+00:00
txr_1N7htmFCPJnn9IgINqT8PGo7,cs_live_b1ZZ90aYczrCkN6qjd5qzUcabHbGIzywDc2J3zuRVea3deWsBRTOyBmxTw,3551,2024-08-14 00:48:14.022000+00:00
txr_1JIuUmFCPJnn9IgITWdA9WaI,cs_live_b1JKJxshrvm8CvLiCkZpuUr5sIpp6AljM03mvA3CTXuj5rxPWdsGygnCir,1807,2024-08-14 01:04:58.584000+00:00
txr_1JIuUmFCPJnn9IgITWdA9WaI,cs_live_b1sjLomjeU6OLdtoWygglkVgu8SuHcGyH1JLm49QIcICtjUK477pt5ORKZ,3044,2024-08-14 01:09:53.508000+00:00
