id,amount,created,currency,discount_amount,subtotal,total,livemode,memo,metadata,number,pdf,reason,status,type,voided_at,customer_balance_transaction_id,invoice_id,refund_id,_fivetran_synced,out_of_band_amount,effective_at,shipping_cost_shipping_rate,subtotal_excluding_tax,total_excluding_tax,shipping_cost_amount_tax,shipping_cost_amount_total,amount_shipping,customer_id,shipping_cost_amount_subtotal
cn_1QFLATFCPJnn9IgIiUMU6Srb,54124,2024-10-29 19:33:29+00:00,usd,,50000,54124,True,,"{""IsCreditNoteProcessed"":""True""}",353D5C2A-0021-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9SN2FMaXdOY25nbHpvSHkyNWVrbXIxdEYydW1VdFpTLDEyMDgzNTU4NA0200403joAF1/pdf?s=ap,order_change,void,pre_payment,2024-10-29 19:35:37+00:00,,in_1QFL6JFCPJnn9IgI7iEOuMxw,,2024-10-30 13:26:24.687000+00:00,,2024-10-29 19:33:29+00:00,,50000,50000,,,0,cus_NeCyVEbYDBWhmJ,
cn_1KEamjFCPJnn9IgILOTrjH9u,1499,2022-01-05 14:48:17+00:00,usd,,1499,1499,True,,{},28080909-0006-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LdVBiamRkV05zVFJIYXA0T21jVlRCb3lTcDBvcGRKLDExNjcyNzEyNg0200oMOawecF/pdf?s=ap,,issued,pre_payment,,,in_1KDAxiFCPJnn9IgICUUCwrsr,,2024-09-13 00:12:06.602000+00:00,,2022-01-05 14:48:17+00:00,,1499,1499,,,0,cus_J6GgccdyFYwllr,
cn_1K9D9tFCPJnn9IgI24kL0L6L,1499,2021-12-21 18:33:57+00:00,usd,,1499,1499,True,,{},411FD37B-0004-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9Lb3FySjVIYVl6RHY3VldJM2FqNlRjaXNqUlJrYTh0LDExNjcyNzEyNg020023Zvi1K7/pdf?s=ap,,issued,post_payment,,,in_1K6UN4FCPJnn9IgII9k4jd8R,re_3K6VJTFCPJnn9IgI1y9mX93W,2024-09-13 00:12:06.603000+00:00,,2021-12-21 18:33:57+00:00,,1499,1499,,,0,cus_KHh9aHiC3P4uNd,
cn_1JeiuBFCPJnn9IgISOencJfB,1499,2021-09-28 16:11:42+00:00,usd,,1499,1499,True,,{},0A4606FF-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLGNuc3RfS0pMYlE4YWVPeElDcmhoNWs2eUNobjQyQW55VkQ4biwxMTY3MjcxMjY0200ySErHTXQ/pdf?s=ap,,issued,post_payment,,,in_1JbqUBFCPJnn9IgIbgQmX0jx,re_3JbrQeFCPJnn9IgI0df6o5xd,2024-09-13 00:12:06.609000+00:00,,2021-09-28 16:11:42+00:00,,1499,1499,,,0,cus_K8sgu7P2yDsrms,
cn_1JxFR3FCPJnn9IgI5NQ1yS5V,1593,2021-11-18 18:34:13+00:00,usd,,1499,1593,True,,{},945D531A-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LY1VQdVBmRENhb3dzd01jYlBGV0cyWk9WUjVBTkh5LDExNjcyNzEyNg0200BjgVuPpq/pdf?s=ap,,issued,post_payment,,,in_1JwaKhFCPJnn9IgIH4uiCKSV,re_3JwbHnFCPJnn9IgI1lwzmVoB,2024-09-13 00:12:06.603000+00:00,,2021-11-18 18:34:13+00:00,,1499,1499,,,0,cus_KUJQOE7InXeST6,
cn_1NcSTCFCPJnn9IgIXhitd5FQ,1604,2023-08-07 12:23:34+00:00,usd,,1499,1604,True,,{},70FD3A26-0003-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9PUEgxNlhOUUU1UnhROGhrNXlzS2dNTGZRVEpKT3gwLDExNjcyNzEyNg0200yFK45TED/pdf?s=ap,,issued,post_payment,,,in_1Na5xMFCPJnn9IgIU6CX26nL,re_3Na5xMFCPJnn9IgI0hkEoMOe,2024-09-13 00:12:06.595000+00:00,,2023-08-07 12:23:34+00:00,,1499,1499,,,0,cus_OKuaweqHq9kukl,
cn_1JrOzRFCPJnn9IgIktU3KpDY,2156,2021-11-02 15:33:33+00:00,usd,,1999,2156,True,,{},096A5B4A-0003-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LV1J0U3h4bllKUFJwYjByb09oSzdKNXEzRno3M2RSLDExNjcyNzEyNg0200gcZ8ByjK/pdf?s=ap,,issued,post_payment,,,in_1Jr3t0FCPJnn9IgIq1w1RHqG,re_3Jr7dWFCPJnn9IgI1jHv6aYb,2024-09-13 00:12:06.608000+00:00,,2021-11-02 15:33:33+00:00,,1999,1999,,,0,cus_K6i8GlyryT2A9N,
cn_1JgEvyFCPJnn9IgIkJl7jl33,1589,2021-10-02 20:35:50+00:00,usd,,1499,1589,True,,{},B12E0CCE-0003-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLGNuc3RfS0t1bFRzcnI5anBqM1lGOEdIbFVZZnpGV0VNVGlXNCwxMTY3MjcxMjY0200qUUJtc99/pdf?s=ap,,issued,post_payment,,,in_1Jfp6AFCPJnn9IgInc9V1uLr,re_3Jfq2oFCPJnn9IgI0VqnR40S,2024-09-13 00:12:06.609000+00:00,,2021-10-02 20:35:50+00:00,,1499,1499,,,0,cus_JA5r57YTgqQ1Um,
cn_1JdMYlFCPJnn9IgIt2Sc8SoI,1608,2021-09-24 22:07:59+00:00,usd,,1499,1608,True,,{},8A71724B-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLGNuc3RfS0h3UnNldnFweWtxbW04Q21mNlROTjk0cmhaMTVSZiwxMTY3MjcxMjY02001tsBWOU5/pdf?s=ap,,issued,post_payment,,,in_1JbXajFCPJnn9IgI6D90wxpE,re_3JbYXlFCPJnn9IgI1znvG6gO,2024-09-13 00:12:06.609000+00:00,,2021-09-24 22:07:59+00:00,,1499,1499,,,0,cus_K8ZBluYfLsjmiT,
cn_1KGQBmFCPJnn9IgI7DOMBQ2o,1499,2022-01-10 15:53:42+00:00,usd,,1499,1499,True,,{},82558944-0008-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9Ld0ludUE1V3Y5SHU4NkhCS2ltTXpPY3lZM0dQTjdXLDExNjcyNzEyNg02007nssCshY/pdf?s=ap,,issued,post_payment,,,in_1K7gSsFCPJnn9IgIomQIfnOg,re_3K7hPEFCPJnn9IgI1Q6N6iyx,2024-09-13 00:12:06.597000+00:00,,2022-01-10 15:53:42+00:00,,1499,1499,,,0,cus_J1Dh92WHUvfcga,
