ts,child_id,network_response,reason,carrier_identifier
2023-11-24 03:26:35,faa32fb5-9f12-40b3-a0cf-3da5c56c44d2,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 03:26:37,faa32fb5-9f12-40b3-a0cf-3da5c56c44d2,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 03:26:44,faa32fb5-9f12-40b3-a0cf-3da5c56c44d2,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 03:26:46,faa32fb5-9f12-40b3-a0cf-3da5c56c44d2,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 03:31:05,0f7c8278-d874-4c85-84af-bb3f7edff949,ERROR,"Reason: OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 03:33:38,faa32fb5-9f12-40b3-a0cf-3da5c56c44d2,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 03:37:22,2198936e-9b81-4a44-a55a-daf12a71ca87,UNKNOWN,Reason: null,CC Network
2023-11-24 03:42:27,b5916ca8-1bd3-4878-a299-7bfa85260078,ERROR,Reason: ERROR_UNSPECIFIED,T-Mobile
2023-11-24 03:45:55,6a86f08f-4cc5-45a0-b922-d43cce3ae389,ERROR,"Reason: 1701, ERROR_UNSPECIFIED",Ultra
2023-11-24 03:46:04,6a86f08f-4cc5-45a0-b922-d43cce3ae389,RESTRICTED,"Reason: ServiceState.STATE_EMERGENCY_ONLY, EMERGENCY_ONLY, Description: Your phone's not registered on a network, so you can only make emergency calls.",Ultra
2023-11-24 03:50:18,fd72dc69-53a0-4fa0-91bb-79172d0bbf89,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 03:50:58,fd72dc69-53a0-4fa0-91bb-79172d0bbf89,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 03:53:40,674532fa-5768-4248-917d-f5657d818666,UNKNOWN,Reason: null,AT&T
2023-11-24 03:55:21,6c098ef5-370f-4b99-a433-36cc838ebde0,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 04:05:45,6116a474-4a89-4645-87e6-bf5253bd0703,ERROR,"Reason: Can't place a call while another is ringing., CANT_CALL_WHILE_RINGING, Description: Answer or decline the incoming call before making a new call.",US  Mobile
2023-11-24 04:22:23,5df7bd37-55f0-4f61-b7da-d1616b489226,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",No service
